,enzyme,substract,compound,product
21514,0.9941881144531757,0.04280122220826597,0.00581188554682435,9.95139068425848
21515,0.9941898419911352,0.042788422191886805,0.005810158008864745,9.9514052096535
21516,0.9941915690211193,0.04277562598574198,0.005808430978880699,9.951419730730947
21517,0.9941932955432738,0.04276283358870783,0.005806704456726121,9.951434247492088
21518,0.9941950215577451,0.04275004499966102,0.0058049784422549554,9.951448759938193
21519,0.9941967470646788,0.042737260217478534,0.005803252935321191,9.951463268070533
21520,0.9941984720642212,0.042724479241037686,0.0058015279357788545,9.95147777189037
21521,0.994200196556518,0.04271170206921611,0.0057998034434820125,9.951492271398982
21522,0.9942019205417152,0.04269892870089177,0.005798079458284773,9.951506766597628
21523,0.9942036440199588,0.042686159134942954,0.005796355980041283,9.951521257487578
21524,0.9942053669913943,0.042673393370248267,0.00579463300860573,9.9515357440701
21525,0.9942070894561676,0.04266063140568665,0.005792910543832341,9.951550226346459
21526,0.9942088114144246,0.04264787324013736,0.005791188585575384,9.951564704317923
21527,0.9942105328663108,0.04263511887247998,0.005789467133689166,9.951579177985757
21528,0.994212253811972,0.04262236830159441,0.005787746188028034,9.951593647351226
21529,0.9942139742515537,0.04260962152636089,0.0057860257484463745,9.951608112415597
21530,0.9942156941852014,0.04259687854565998,0.005784305814798616,9.951622573180135
21531,0.9942174136130608,0.042584139358372554,0.005782586386939225,9.9516370296461
21532,0.9942191325352773,0.04257140396337982,0.0057808674647227085,9.951651481814762
21533,0.9942208509519964,0.0425586723595633,0.005779149048003614,9.951665929687385
21534,0.9942225688633635,0.042545944545804855,0.005777431136636528,9.951680373265225
21535,0.994224286269524,0.04253322052098665,0.005775713730476077,9.951694812549551
21536,0.994226003170623,0.042520500283991194,0.005773996829376929,9.951709247541626
21537,0.9942277195668062,0.042507783833701296,0.005772280433193789,9.951723678242708
21538,0.9942294354582186,0.04249507116900011,0.005770564541781405,9.951738104654062
21539,0.9942311508450055,0.04248236228877109,0.005768849154994562,9.951752526776948
21540,0.994232865727312,0.04246965719189805,0.005767134272688087,9.951766944612631
21541,0.9942345801052832,0.042456955877265085,0.005765419894716846,9.95178135816237
21542,0.9942362939790642,0.04244425834375665,0.005763706020935745,9.951795767427422
21543,0.9942380073488003,0.04243156459025749,0.005761992651199729,9.951810172409049
21544,0.9942397202146362,0.04241887461565269,0.0057602797853637845,9.951824573108514
21545,0.994241432576717,0.042406188418827664,0.0057585674232829365,9.95183896952707
21546,0.9942431444351878,0.04239350599866813,0.005756855564812251,9.951853361665982
21547,0.9942448557901932,0.04238082735406015,0.005755144209806831,9.951867749526508
21548,0.9942465666418782,0.042368152483890094,0.005753433358121823,9.951882133109903
21549,0.9942482769903875,0.042355481387044654,0.005751723009612411,9.951896512417427
21550,0.9942499868358662,0.04234281406241085,0.005750013164133819,9.951910887450339
21551,0.9942516961784587,0.042330150508876015,0.005748303821541312,9.951925258209892
21552,0.9942534050183098,0.04231749072532782,0.0057465949816901925,9.951939624697347
21553,0.9942551133555642,0.04230483471065424,0.0057448866444358045,9.951953986913958
21554,0.9942568211903665,0.04229218246374359,0.005743178809633531,9.951968344860981
21555,0.9942585285228612,0.04227953398348449,0.005741471477138795,9.951982698539673
21556,0.994260235353193,0.04226688926876589,0.00573976464680706,9.951997047951293
21557,0.9942619416815062,0.04225424831847707,0.0057380583184938275,9.952011393097088
21558,0.9942636475079454,0.042241611131507616,0.005736352492054639,9.952025733978319
21559,0.9942653528326549,0.04222897770674744,0.005734647167345078,9.952040070596235
